density,agent,ep,reward,pax,wait
x3.0,SD-eta,0,-6766.202982682136,2498,42.688322917031414
x3.0,SD-eta,1,-3371.245581057926,2985,43.92236877679853
x3.0,SD-eta,2,-43306.67382539052,216,54.25108711737647
x3.0,SD-eta,3,-34336.75408230069,942,36.333104694563374
x3.0,SD-eta,4,-24860.645818552406,1377,37.44636024639313
x3.0,SD-eta,5,-24780.94589968353,1630,36.917056806026096
x3.0,SD-eta,6,-32143.163103479845,709,54.45875698610708
x3.0,SD-eta,7,-44977.55109663793,130,47.88761314011906
x3.0,SD-eta,8,-25785.411862221183,1573,34.137238774210225
x3.0,SD-eta,9,-17219.020457729217,1945,42.35235953661842
x3.0,SD-eta,10,-30582.558628984632,1307,44.87576003349024
x3.0,SD-eta,11,-46042.47303405687,91,46.53163590796711
x3.0,D-aux(x2.0),0,-3966.0904334955985,2958,45.83640431120934
x3.0,D-aux(x2.0),1,-2864.1118491343054,3119,47.39658905341651
x3.0,D-aux(x2.0),2,-4628.089147476445,2904,47.02756422061876
x3.0,D-aux(x2.0),3,-2725.816336269161,3131,47.96628148007063
x3.0,D-aux(x2.0),4,-3135.621378446753,3087,47.605192750104905
x3.0,D-aux(x2.0),5,-8544.948061174173,2691,51.34282669247137
x3.0,D-aux(x2.0),6,-4706.436262197178,2851,45.71604545878133
x3.0,D-aux(x2.0),7,-3366.8640010854306,3064,46.9929086775458
x3.0,D-aux(x2.0),8,-3753.015325005632,3016,46.6433650867824
x3.0,D-aux(x2.0),9,-4669.476023361817,2874,44.48177066667153
x3.0,D-aux(x2.0),10,-4312.908791265663,2925,46.84750587058076
x3.0,D-aux(x2.0),11,-3610.721347708108,3057,45.87483876034667
x3.0,MIX-aux(x1.5-3.0),0,-30.037943893030327,3500,51.49980804459669
x3.0,MIX-aux(x1.5-3.0),1,-10329.399055793301,2355,62.2307747592582
x3.0,MIX-aux(x1.5-3.0),2,-470.49525352183826,3418,51.75145210316962
x3.0,MIX-aux(x1.5-3.0),3,-3179.7885775611044,3037,51.36010692698899
x3.0,MIX-aux(x1.5-3.0),4,-10603.809940624073,2315,62.32838796240047
x3.0,MIX-aux(x1.5-3.0),5,-36979.1542082595,526,57.57723737142014
x3.0,MIX-aux(x1.5-3.0),6,-25415.037170030464,1254,77.44862864799802
x3.0,MIX-aux(x1.5-3.0),7,-15897.991652279374,1884,55.22259998875467
x3.0,MIX-aux(x1.5-3.0),8,-18933.913575179464,1658,55.83847472818082
x3.0,MIX-aux(x1.5-3.0),9,-991.616499067457,3358,53.32358327849402
x3.0,MIX-aux(x1.5-3.0),10,-9834.691627648288,2332,70.0191529880146
x3.0,MIX-aux(x1.5-3.0),11,-6191.026739044159,2550,50.70400857527624
